Title,Session ID,SessionLoc,Session Type,Session URL
ADT02. Designing the Next Generation of Antibody Drug Conjugates,74,Room 30 - Upper Level - Convention Center,Advances in Diagnostics and Therapeutics,https://www.abstractsonline.com/pp8/#!/20272/session/74
ADT03. Ex Vivo Functional Diagnostics for Cancer Precision Medicine,76,Room 6 DE - Upper Level - Convention Center,Advances in Diagnostics and Therapeutics,https://www.abstractsonline.com/pp8/#!/20272/session/76
ADT08. Oligometastasis: Curable Metastatic State?,108,Room 28 - Upper Level - Convention Center,Advances in Diagnostics and Therapeutics,https://www.abstractsonline.com/pp8/#!/20272/session/108
ADT01. No Time to Waste: Understanding and Addressing Cancer Cachexia,73,Room 16 - Mezzanine Level - Convention Center,Advances in Diagnostics and Therapeutics,https://www.abstractsonline.com/pp8/#!/20272/session/73
ADT05. Chemical Biology Approaches to Tackle Undruggable Targets,94,Room 29 - Upper Level - Convention Center,Advances in Diagnostics and Therapeutics,https://www.abstractsonline.com/pp8/#!/20272/session/94
ADT04. Drugging Transcription Factors,92,Room 29 - Upper Level - Convention Center,Advances in Diagnostics and Therapeutics,https://www.abstractsonline.com/pp8/#!/20272/session/92
ADT07. Radiotheranostics: A Paradigm-Shifting Therapy,107,Room 11 - Upper Level - Convention Center,Advances in Diagnostics and Therapeutics,https://www.abstractsonline.com/pp8/#!/20272/session/107
ADT06. KRAS: Broadening the Attack Beyond G12C with Small Molecules and Immuno-Oncology,104,Ballroom 20 AB - Upper Level - Convention Center,Advances in Diagnostics and Therapeutics,https://www.abstractsonline.com/pp8/#!/20272/session/104
ADT09. Advances in T-cell Bispecific Approaches Targeting Solid Tumors,109,Room 6 CF - Upper Level - Convention Center,Advances in Diagnostics and Therapeutics,https://www.abstractsonline.com/pp8/#!/20272/session/109
AHM01. Precursors to Hematologic Malignancies,110,Room 15 - Mezzanine Level - Convention Center,Advances in Hematologic Malignancies,https://www.abstractsonline.com/pp8/#!/20272/session/110
AHM06. Relapse after Allogeneic Bone Marrow Transplant,115,Room 15 - Mezzanine Level - Convention Center,Advances in Hematologic Malignancies,https://www.abstractsonline.com/pp8/#!/20272/session/115
AHM04. Ongoing Advances in the Understanding and Treatment of Acute Myeloid Leukemia,113,Room 14 - Mezzanine Level - Convention Center,Advances in Hematologic Malignancies,https://www.abstractsonline.com/pp8/#!/20272/session/113
AHM02. Immune Microenvironment in Hematologic Malignancies ,111,Room 15 - Mezzanine Level - Convention Center,Advances in Hematologic Malignancies,https://www.abstractsonline.com/pp8/#!/20272/session/111
AHM05. Advances in Lymphoma,114,Room 14 - Mezzanine Level - Convention Center,Advances in Hematologic Malignancies,https://www.abstractsonline.com/pp8/#!/20272/session/114
AHM03. Understanding the Mechanisms of Resistance to Immunotherapeutic Approaches in Multiple Myeloma,112,Room 33 - Upper Level - Convention Center,Advances in Hematologic Malignancies,https://www.abstractsonline.com/pp8/#!/20272/session/112
AOS01. Inflammatory Breast Cancer,116,Room 16 - Mezzanine Level - Convention Center,Advances in Organ Site Research,https://www.abstractsonline.com/pp8/#!/20272/session/116
AOS05. Novel Strategies for Early Detection of Ovarian Cancer,120,Room 17 - Mezzanine Level - Convention Center,Advances in Organ Site Research,https://www.abstractsonline.com/pp8/#!/20272/session/120
AOS03. Emerging Non-invasive Tests for Colorectal Cancer Screening: Potential Opportunities and Pitfalls,118,Room 14 - Mezzanine Level - Convention Center,Advances in Organ Site Research,https://www.abstractsonline.com/pp8/#!/20272/session/118
AOS02. Advances and Challenges in Therapy for Malignant Glioma,117,Room 15 - Mezzanine Level - Convention Center,Advances in Organ Site Research,https://www.abstractsonline.com/pp8/#!/20272/session/117
AOS08. Translational and Clinical Advances in Pancreatic Cancer,123,Ballroom 6 A - Upper Level - Convention Center,Advances in Organ Site Research,https://www.abstractsonline.com/pp8/#!/20272/session/123
AOS06. Impact of Tumor Heterogeneity on the Evolution of Pancreatic Cancer,121,Room 6 CF - Upper Level - Convention Center,Advances in Organ Site Research,https://www.abstractsonline.com/pp8/#!/20272/session/121
AOS09. Uveal Melanoma: Elucidating the Adjuvant Window of Therapeutic Opportunity,124,Room 17 - Mezzanine Level - Convention Center,Advances in Organ Site Research,https://www.abstractsonline.com/pp8/#!/20272/session/124
AOS11. Updates from SABCS 2023,563,Room 28 - Upper Level - Convention Center,Advances in Organ Site Research,https://www.abstractsonline.com/pp8/#!/20272/session/563
AOS10. Dharma Master Jiantai Advances in Lung Cancer Research Session: Deciphering Lung Cancer in Non-smokers - Dedicated to the Memory of Richard H. Creech,125,Ballroom 6 A - Upper Level - Convention Center,Advances in Organ Site Research,https://www.abstractsonline.com/pp8/#!/20272/session/125
AOS07. Androgen Receptor as a Pro-Differentiation and Oncogenic Transcription Factor in Prostate Cancer,122,Room 15 - Mezzanine Level - Convention Center,Advances in Organ Site Research,https://www.abstractsonline.com/pp8/#!/20272/session/122
CTMS01. Cancer Vaccines: Ready for Prime Time?,663,Ballroom 20 AB - Upper Level - Convention Center,Clinical Trials Minisymposium,https://www.abstractsonline.com/pp8/#!/20272/session/663
CTMS02. Advances in Immunotherapy,664,Hall GH - Ground Level - Convention Center,Clinical Trials Minisymposium,https://www.abstractsonline.com/pp8/#!/20272/session/664
CTMS03. Novel Agents and Emerging Therapeutic Strategies,665,Hall GH - Ground Level - Convention Center,Clinical Trials Minisymposium,https://www.abstractsonline.com/pp8/#!/20272/session/665
CTPL01. Beyond Immune Checkpoint Inhibition: Novel Immunotherapy Strategies,659,Hall GH - Ground Level - Convention Center,Clinical Trials Plenary Session,https://www.abstractsonline.com/pp8/#!/20272/session/659
CTPL02. Novel Immune Checkpoint Inhibitor Combinations,660,Hall GH - Ground Level - Convention Center,Clinical Trials Plenary Session,https://www.abstractsonline.com/pp8/#!/20272/session/660
CTPL03. Advances in Targeted Therapy,661,Ballroom 20 AB - Upper Level - Convention Center,Clinical Trials Plenary Session,https://www.abstractsonline.com/pp8/#!/20272/session/661
CTPL04. Biomarkers: Quantifying Pharmacodynamic Modulation,662,Hall GH - Ground Level - Convention Center,Clinical Trials Plenary Session,https://www.abstractsonline.com/pp8/#!/20272/session/662
ED02. Are You Targeting Your Protein?,470,Room 28 - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/470
ED09. Integrating Evolutionary Principles into Clinical Trial Design and Analysis,482,Room 6 CF - Upper Level - Convention Center,Educational Session,https://www.abstractsonline.com/pp8/#!/20272/session/482
